run_path,mode,backend_profile,optimization_recipe,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,measured_training_seconds,wall_seconds,source_commit,source_dirty,source_diff_sha256,megatron_commit,torch,cuda,triton_ptxas_path,accelerator,compute_capability
full/zloss-combination-sm103a-v1/zloss5e6-clip01-s44,full,compile,z-loss-5e-6-clip01,44,9363488,286,112459776,1.5034917275764625,1148068.7864266904,94.53058674104977,120.9872273739893,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/max-clip01-s43,full,compile-max-autotune,grad-clip-01,43,9363488,286,112459776,1.5143674166047896,1596138.5065451073,67.9938586500939,117.33512073603924,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/max-clip01-s44,full,compile-max-autotune,grad-clip-01,44,9363488,286,112459776,1.5036353796499429,1565176.042644759,69.33891974005383,118.56429678096902,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/max-full-matrix-clip01-s43,full,compile-max-autotune,full-matrix-clip01,43,9363488,286,112459776,1.5215060626873678,1783578.8212934213,60.84823093004525,92.6953943730332,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/max-full-matrix-clip01-s44,full,compile-max-autotune,full-matrix-clip01,44,9363488,286,112459776,1.5070659760273086,1776369.4574463177,61.09518239297904,94.09708540793508,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/max-zloss5e6-s42,full,compile-max-autotune,z-loss-5e-6,42,9363488,286,112459776,1.5063079100866383,1381454.3461104957,78.56040722993203,194.09422992705368,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/max-zloss5e6-s43,full,compile-max-autotune,z-loss-5e-6,43,9363488,286,112459776,1.5452358395340984,1422237.8236311262,76.3076429249486,188.18520216504112,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/max-zloss5e6-s44,full,compile-max-autotune,z-loss-5e-6,44,9363488,286,112459776,1.5467244425595394,1609812.8958849227,67.41629184200428,158.3716875729151,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/zloss1e5-s42,full,compile,z-loss-1e-5,42,9363488,286,112459776,1.505306169209611,1283757.1518701734,84.53905463498086,124.9693988810759,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/zloss1e6-s42,full,compile,z-loss-1e-6,42,9363488,286,112459776,1.5433506560662398,1327613.4319545391,81.74639800097793,129.95740357704926,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
