backend,variant,seeds,mean_bpb,paired_delta_bpb,mean_tokens_per_second,normalized_throughput,mean_wall_seconds
megatron,attnres,3,1.4981239425878805,-0.0357614784920528,451982.613377511,0.5992899154433692,354.32696598465554
megatron,baseline,3,1.5338854210799333,0.0,752144.2721292683,1.0,249.39130384168433
megatron,dsa,3,1.6251964781975967,0.09131105711766303,261664.15962292204,0.3468075532409442,560.8916988203224
megatron,engram,3,1.4889657360058608,-0.04491968507407281,706850.8136396358,0.9387373363210343,288.44495358201675
megatron,gated-attention,3,1.5330888317861089,-0.0007965892938244235,727761.7341087218,0.9652945607626889,251.95776046164488
megatron,glm-mla,3,1.5317825207160478,-0.00210290036388557,729404.7564409842,0.9688890435713104,249.26697989262175
megatron,inkling-relative-attention,3,1.528361156363902,-0.0055242647160314755,258506.5139100215,0.34580908820582285,546.949414619361
megatron,inkling-sconv-kv,3,1.540332073222606,0.006446652142672408,699665.1660197466,0.9280223048274948,259.5134441680275
megatron,inkling-sconv-residual,3,1.4937757332311474,-0.040109687848785804,702761.1696753757,0.9334344887063857,256.3477090076388
megatron,kda,3,1.4640741901836625,-0.06981123089627106,561961.7549986303,0.7461037236268745,529.4084336013766
megatron,kimi-k3-kda-update,3,1.4657786882579644,-0.06810673282196918,585461.5956527923,0.7771936380851835,499.65798624399275
megatron,mhc,3,1.525564427893614,-0.00832099318631944,333692.3725124758,0.4427308952688008,456.45199888401356
megatron,partial-rope-25,3,1.5602408619963175,0.026355440916383976,734128.7405123239,0.9756533508158443,247.41176670362862
megatron,qwen-gdn,3,1.492594680868808,-0.04129074021112541,526268.4793628961,0.6989012744951987,416.0469748323473
megatron,situ-glu,3,1.5329252577401522,-0.000960163339781254,726234.6871212955,0.9664223187400166,245.85954898700584
megatron,xielu,3,1.5360034792687898,0.002118058188856242,664330.307672584,0.8842950910152506,269.5964553646821
speedrun,attnres,3,1.498152784072835,-0.05682770575340997,1257371.3333333333,0.9249960225306766,86.32954065004985
speedrun,baseline,3,1.5549804898262447,0.0,1360228.0,1.0,79.8198717435201
speedrun,dsa,3,1.6335432129302043,0.07856272310395955,434541.6666666667,0.31961482647291434,250.65913844108582
speedrun,engram,3,1.4897219153376373,-0.06525857448860724,1352948.0,0.9947241903792081,88.38320485750835
speedrun,gated-attention,3,1.549217631913285,-0.005762857912959533,1326877.0,0.9755742471638329,81.81544462839763
speedrun,glm-mla,3,1.5533569414634532,-0.0016235483627914753,1374704.0,1.0111877306954338,79.25816925366719
speedrun,inkling-relative-attention,3,1.5584435361526827,0.003463046326437865,564529.0,0.41522224891745196,192.94538434346518
speedrun,inkling-sconv-kv,3,1.5476527722458455,-0.007327717580399111,1284914.3333333333,0.9448937789580986,84.5362176100413
speedrun,inkling-sconv-residual,3,1.5050169849501547,-0.04996350487609017,1303315.6666666667,0.95826126104902,83.2917464574178
speedrun,kda,3,1.4622238334237927,-0.09275665640245216,607291.0,0.4467250661309063,178.72102467219034
speedrun,kimi-k3-kda-update,3,1.4615939632004376,-0.09338652662580715,629414.3333333334,0.46300156134011566,172.4501207669576
speedrun,mhc,3,1.539949261029892,-0.015031228796352917,871334.6666666666,0.6410212230610554,125.05533925692241
speedrun,partial-rope-25,3,1.57961971933279,0.0246392295065454,1373967.6666666667,1.0100314164093953,79.09221172332764
speedrun,qwen-gdn,3,1.4831026984333449,-0.07187779139289978,645453.3333333334,0.4749402105578131,169.64652832349142
speedrun,situ-glu,3,1.559727403026091,0.004746913199846252,1385974.6666666667,1.0182521251368581,78.54613550504048
speedrun,xielu,3,1.557475276004543,0.002494786178298236,1336546.6666666667,0.9826794801710871,81.2211525440216
