step,training_tokens,quarter_cross_entropy,full_cross_entropy,quarter_cross_entropy_smoothed,full_cross_entropy_smoothed,quarter_mtp_loss,full_mtp_loss,quarter_grad_norm,full_grad_norm,learning_rate
1,1048576,12.681394577026367,13.44591999053955,12.681394577026367,13.44591999053955,1.2673524618148804,1.3456966876983643,26.333202362060547,92.43212890625,5.2428486441158384e-08
2,2097152,12.679936408996582,13.44753646850586,12.680665493011475,13.446728229522705,1.267146110534668,1.3458030223846436,27.27715492248535,93.57392120361328,1.0485697288231677e-07
3,3145728,12.680665969848633,13.447342872619629,12.680665651957193,13.446933110555014,1.2673873901367188,1.345949411392212,26.690940856933594,93.07209777832031,1.5728545577076147e-07
4,4194304,12.680791854858398,13.447137832641602,12.680697202682495,13.44698429107666,1.2674815654754639,1.3456834554672241,26.59670639038086,92.49517822265625,2.0971394576463354e-07
5,5242880,12.681342124938965,13.44681453704834,12.680826187133789,13.446950340270996,1.2672704458236694,1.3455309867858887,26.942840576171875,93.88239288330078,2.621424357585056e-07
6,6291456,12.681317329406738,13.443894386291504,12.680908044179281,13.446441014607748,1.2673643827438354,1.3457622528076172,25.97916030883789,91.0379409790039,3.1457091154152295e-07
7,7340032,12.681192398071289,13.445173263549805,12.680948666163854,13.446259907313756,1.2672908306121826,1.345888614654541,26.350576400756836,92.80857849121094,3.669994157462497e-07
8,8388608,12.681661605834961,13.444153785705566,12.681037783622742,13.445996642112732,1.2673749923706055,1.3456876277923584,27.40582847595215,94.45478820800781,4.1942789152926707e-07
9,9437184,12.681802749633789,13.444355010986328,12.681122779846191,13.445814238654243,1.2673159837722778,1.3455681800842285,25.722061157226562,91.63529205322266,4.7185639573399385e-07
10,10485760,12.68083381652832,13.446457862854004,12.681093883514404,13.445878601074218,1.2671988010406494,1.345444679260254,26.755138397216797,91.32947540283203,5.242848715170112e-07
11,11534336,12.681199073791504,13.44352912902832,12.681103446266867,13.44566501270641,1.2673808336257935,1.3457380533218384,25.5012149810791,90.75035858154297,5.76713375721738e-07
