backend,variant,seeds,mean_bpb,paired_delta_bpb,mean_tokens_per_second,normalized_throughput,mean_wall_seconds,throughput_basis,mean_cold_inclusive_tokens_per_second
megatron,attnres,3,1.5003245522040523,-0.0067795250878860775,1429375.6685415662,0.960200245649328,675.0518792600293,aggregate after warmup,1429375.6685415662
megatron,baseline,3,1.5071040772919384,0.0,1489513.2799083078,1.0,573.5997405906674,aggregate after warmup,1489513.2799083078
megatron,dsa,3,1.6154876383537458,0.10838356106180742,194981.09813750628,0.13112895764814939,1450.0364600647008,aggregate after warmup,194981.09813750628
megatron,engram,3,1.4853238667519093,-0.02178021054002932,1463967.2499183367,0.982430503930355,616.622746053307,aggregate after warmup,1463967.2499183367
megatron,gated-attention,3,1.5047697920381766,-0.0023342852537619288,1491346.8833363175,1.001025060581073,575.783382723302,aggregate after warmup,1491346.8833363175
megatron,glm-mla,3,1.5044378369840359,-0.0026662403079025974,1453043.701504792,0.975496913794545,587.5505973862795,aggregate after warmup,1453043.701504792
megatron,inkling-relative-attention,3,1.4948373042476861,-0.012266773044252277,597002.3531319221,0.40255172402554945,761.919540101701,aggregate after warmup,597002.3531319221
megatron,inkling-sconv-kv,3,1.4972362403362098,-0.009867836955728349,1446822.3671294264,0.971149697635029,580.7747755073555,aggregate after warmup,1446822.3671294264
megatron,inkling-sconv-residual,3,1.4804350484328623,-0.026669028859076,1436656.2091025177,0.9653266096568002,554.2865266906641,aggregate after warmup,1436656.2091025177
megatron,kda,3,1.6131060347548953,0.10600195746295708,562028.7863322227,0.3761168691869223,916.9525261323433,aggregate after warmup,562028.7863322227
megatron,mhc,3,1.5008517397610757,-0.006252337530862813,1240150.7360108,0.8338981710070863,747.2777373640178,aggregate after warmup,1240150.7360108
megatron,partial-rope-25,3,1.5352404920586649,0.02813641476672653,1484078.1380790917,0.9967080752937965,575.1360732286703,aggregate after warmup,1484078.1380790917
megatron,qwen-gdn,3,2.939010506217086,1.4319064289251482,736248.2010396118,0.4928584039029613,929.9329645119918,aggregate after warmup,736248.2010396118
megatron,situ-glu,3,1.5109275799219983,0.003823502630059853,1496032.9540036998,1.0045689095982102,545.9119737610066,aggregate after warmup,1496032.9540036998
megatron,xielu,3,1.5102162163599093,0.0031121390679710683,1467763.0521458506,0.9849904969255014,613.356385444679,aggregate after warmup,1467763.0521458506
speedrun,attnres,3,1.498152784072835,-0.05682770575340997,1257371.3333333333,0.9249960225306766,86.32954065004985,aggregate after warmup,1257371.3333333333
speedrun,baseline,3,1.5549804898262447,0.0,1360228.0,1.0,79.8198717435201,aggregate after warmup,1360228.0
speedrun,dsa,3,1.6335432129302043,0.07856272310395955,434541.6666666667,0.31961482647291434,250.65913844108582,aggregate after warmup,434541.6666666667
speedrun,engram,3,1.4897219153376373,-0.06525857448860724,1352948.0,0.9947241903792081,88.38320485750835,aggregate after warmup,1352948.0
speedrun,gated-attention,3,1.549217631913285,-0.005762857912959533,1326877.0,0.9755742471638329,81.81544462839763,aggregate after warmup,1326877.0
speedrun,glm-mla,3,1.5533569414634532,-0.0016235483627914753,1374704.0,1.0111877306954338,79.25816925366719,aggregate after warmup,1374704.0
speedrun,inkling-relative-attention,3,1.5584435361526827,0.003463046326437865,564529.0,0.41522224891745196,192.94538434346518,aggregate after warmup,564529.0
speedrun,inkling-sconv-kv,3,1.5476527722458455,-0.007327717580399111,1284914.3333333333,0.9448937789580986,84.5362176100413,aggregate after warmup,1284914.3333333333
speedrun,inkling-sconv-residual,3,1.5050169849501547,-0.04996350487609017,1303315.6666666667,0.95826126104902,83.2917464574178,aggregate after warmup,1303315.6666666667
speedrun,kda,3,1.4622238334237927,-0.09275665640245216,607291.0,0.4467250661309063,178.72102467219034,aggregate after warmup,607291.0
speedrun,kimi-k3-kda-update,3,1.4615939632004376,-0.09338652662580715,629414.3333333334,0.46300156134011566,172.4501207669576,aggregate after warmup,629414.3333333334
speedrun,mhc,3,1.539949261029892,-0.015031228796352917,871334.6666666666,0.6410212230610554,125.05533925692241,aggregate after warmup,871334.6666666666
speedrun,partial-rope-25,3,1.57961971933279,0.0246392295065454,1373967.6666666667,1.0100314164093953,79.09221172332764,aggregate after warmup,1373967.6666666667
speedrun,qwen-gdn,3,1.4831026984333449,-0.07187779139289978,645453.3333333334,0.4749402105578131,169.64652832349142,aggregate after warmup,645453.3333333334
speedrun,situ-glu,3,1.559727403026091,0.004746913199846252,1385974.6666666667,1.0182521251368581,78.54613550504048,aggregate after warmup,1385974.6666666667
speedrun,xielu,3,1.557475276004543,0.002494786178298236,1336546.6666666667,0.9826794801710871,81.2211525440216,aggregate after warmup,1336546.6666666667
