backend,variant,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,wall_seconds,source_commit,megatron_commit,backend_profile,optimization_recipe,source_dirty,source_diff_sha256,source_worktree_sha256,steady_state_tokens_per_second,median_step_seconds,p90_step_seconds
megatron,engram,44,10284800,314,123469824,1.4903551407557194,1640056.5231311603,590.784034686978,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1663603.4858107609,0.23636401543626562,0.2498777499422431
megatron,gated-attention,42,9365448,286,112459776,1.5344236449391508,1653891.1768270498,544.9906189610483,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1685982.1862297398,0.233226663491223,0.25363747403025627
megatron,gated-attention,43,9365448,286,112459776,1.5480600813096563,1395849.706397791,627.2043641909258,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1417926.734512614,0.27731757250148803,0.2970089709851891
megatron,gated-attention,44,9365448,286,112459776,1.5385327282216898,1673427.7851040103,574.0503187209833,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1696149.3373137272,0.23182864347472787,0.24503381305839866
megatron,glm-mla,42,9394848,287,112852992,1.5409209244797681,1643826.1353874127,554.6137357309926,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1660690.6547791106,0.2367785950191319,0.25594164291396737
megatron,glm-mla,43,9394848,287,112852992,1.5388578361517509,1354255.3121412508,618.832715190947,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1375161.4403217756,0.28594169998541474,0.30713842099066824
megatron,glm-mla,44,9394848,287,112852992,1.5569417280181987,1630490.8285053317,603.7792400940089,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1665475.165307384,0.23609838692937046,0.2546697109937668
megatron,inkling-relative-attention,42,9420128,287,112852992,1.5401587131854855,612910.6969891128,724.2931926050223,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,617556.526329696,0.6367287579923868,0.6460640010191128
megatron,inkling-relative-attention,43,9420128,287,112852992,1.5334700675940416,623451.5457013648,767.282665021019,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,628874.2412317321,0.6252696870360523,0.636338816024363
megatron,inkling-relative-attention,44,9420128,287,112852992,1.4945091164850917,608500.6408791011,767.0922253640601,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,616393.2047080911,0.637930458993651,0.6485656129661947
megatron,inkling-sconv-kv,42,9365728,286,112459776,1.5391470524203132,1515475.6122379946,560.3605870419415,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1537222.674377688,0.2557963830186054,0.2727245199494064
megatron,inkling-sconv-kv,43,9365728,286,112459776,1.5345106882769717,1425738.754903603,568.2675828479696,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1434587.6352848662,0.27409688354237005,0.29433299601078033
megatron,inkling-sconv-kv,44,9365728,286,112459776,1.4954935361819943,1588861.0219144758,573.2257006569998,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1613142.798243863,0.24375771346967667,0.25974202202633023
megatron,inkling-sconv-residual,42,9365728,286,112459776,1.4861151674178938,1595222.5173590332,536.9463217570446,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1619524.445821098,0.24279719952028245,0.25912595307454467
megatron,inkling-sconv-residual,43,9365728,286,112459776,1.504943024237002,1342544.5671203216,604.7984919220908,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1359326.2512452074,0.28927271848078817,0.30914288701023906
megatron,inkling-sconv-residual,44,9365728,286,112459776,1.4816238500577688,1567693.897297293,530.6803099489771,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1591080.7541877772,0.24713767605135217,0.26240332098677754
megatron,kda,42,9372437,286,112459776,1.4683635103149677,560710.4724800756,544.6561149540357,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,566447.5181280886,0.6941790499840863,0.7260081130079925
megatron,kda,43,9372437,286,112459776,1.469571232007485,477112.92603721994,609.39628855302,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,469105.0061741522,0.8382259724894539,0.8766449009999633
megatron,kda,44,9372437,286,112459776,1.4594310996860678,587326.5899772882,534.9961277650436,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,595310.2909890605,0.6605227659456432,0.697569951065816
megatron,kimi-k3-kda-update,42,9385429,286,112459776,1.4714379607148904,587297.1254897497,525.9011337229749,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,592449.4716707342,0.6637122975080274,0.6918255649507046
megatron,kimi-k3-kda-update,43,9385429,286,112459776,1.4721709727732806,481197.3060484805,603.6182213750435,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,466323.31132592674,0.8432261275593191,0.8706210909876972
megatron,kimi-k3-kda-update,44,9385429,286,112459776,1.4607400384086597,591089.3550919838,525.6379811450606,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,598907.9899136429,0.6565549410297535,0.6976016709813848
megatron,mhc,42,9417518,287,112852992,1.535146476585857,1360383.2561704111,712.9598409050377,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1404154.2994553135,0.28003759996499866,0.2930590049363673
megatron,mhc,43,9417518,287,112852992,1.517174664975187,1207244.932080498,811.7803612560965,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1252363.8041654609,0.31397905200719833,0.33118561399169266
megatron,mhc,44,9417518,287,112852992,1.5361261390017655,1388539.0621180746,741.0348265180364,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1396234.9456646084,0.28162595501635224,0.29614290699828416
megatron,partial-rope-25,42,9363488,286,112459776,1.5704890816968555,1622636.4240871107,533.9296212949557,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1647191.4451862748,0.23871906398562714,0.2557738299947232
megatron,partial-rope-25,43,9363488,286,112459776,1.5710612871155318,1415675.6668579967,591.5469607469859,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1431772.313909168,0.2746358455042355,0.2941393399378285
megatron,partial-rope-25,44,9363488,286,112459776,1.5334980799331603,1581923.5816667257,561.3052667269949,f8bc91df1aa10a2e4fd193cb9acdc4df3cdba975,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,baseline,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33c2da2f369cc6a117055a71d327f41de48fe448131a6a62c936189bf2d3e4c3,1605695.550636358,0.24488826654851437,0.2625467600300908
