backend,variant,seeds,mean_bpb,paired_delta_bpb,mean_tokens_per_second,normalized_throughput,mean_wall_seconds,throughput_basis,mean_cold_inclusive_tokens_per_second
megatron,attnres,3,1.4995980112272385,-0.04816002333249917,1539399.902935873,0.9752347755165435,669.0241448340239,median steady-state step,1512549.3329211345
megatron,baseline,3,1.5477580345597375,0.0,1576266.2351439008,1.0,567.0037244876148,median steady-state step,1529303.9210959084
megatron,dsa,3,1.6270229103761338,0.07926487581639607,747027.5157753545,0.4745937877644059,1468.8363442653401,median steady-state step,195269.70644748933
megatron,engram,3,1.4898277708322187,-0.05793026372751867,1572868.1278197446,0.9971186446263857,612.4093457653265,median steady-state step,1550234.0547666808
megatron,gated-attention,3,1.5403388181568323,-0.0074192164029052154,1600019.419352027,1.0134957788101848,582.0817672909858,median steady-state step,1574389.5561096172
megatron,glm-mla,3,1.5455734962165726,-0.002184538343164973,1567109.0868027566,0.9923249151652008,592.4085636719828,median steady-state step,1542857.4253446653
megatron,inkling-relative-attention,3,1.5227126324215394,-0.025045402138197986,620941.3240898397,0.3951616933121658,752.8893609967005,median steady-state step,614954.2945231929
megatron,inkling-sconv-kv,3,1.5230504256264263,-0.024707608933311143,1528317.7026354724,0.9700278009037643,567.284623515637,median steady-state step,1510025.129685358
megatron,inkling-sconv-residual,3,1.4908940139042215,-0.05686402065551599,1523310.483751361,0.9650881956953876,557.4750412093708,median steady-state step,1501820.3272588823
megatron,kda,3,1.4657886140028402,-0.08196942055689742,543620.9384304337,0.34407278020303284,563.0161770906998,median steady-state step,541716.6628315279
megatron,kimi-k3-kda-update,3,1.46811632396561,-0.07964171059412732,552560.2576367679,0.34946128285697226,551.7191120810263,median steady-state step,553194.5955434047
megatron,mhc,3,1.5294824268542697,-0.018275607705467767,1350917.6830951276,0.8569873729076459,755.2583428930569,median steady-state step,1318722.4167896612
megatron,partial-rope-25,3,1.5583494829151825,0.01059144835544501,1561553.1032439338,0.9902041367123889,562.2606162563121,median steady-state step,1540078.5575372775
megatron,qwen-gdn,3,1.4931803896870048,-0.05457764487273272,617317.5650626401,0.3910157808393346,413.2387091353303,median steady-state step,620905.8357482211
megatron,situ-glu,3,1.5490408536770144,0.001282819117276827,1599398.844913926,1.0146289045644081,572.6203599749521,median steady-state step,1589747.5506730482
megatron,xielu,3,1.5459275543704922,-0.0018304801892455498,1544671.1671562074,0.9795477703789292,577.1844857590428,median steady-state step,1519920.4101454497
speedrun,attnres,3,1.498152784072835,-0.05682770575340997,1257371.3333333333,0.9249960225306766,86.32954065004985,aggregate after warmup,1257371.3333333333
speedrun,baseline,3,1.5549804898262447,0.0,1360228.0,1.0,79.8198717435201,aggregate after warmup,1360228.0
speedrun,dsa,3,1.6335432129302043,0.07856272310395955,434541.6666666667,0.31961482647291434,250.65913844108582,aggregate after warmup,434541.6666666667
speedrun,engram,3,1.4897219153376373,-0.06525857448860724,1352948.0,0.9947241903792081,88.38320485750835,aggregate after warmup,1352948.0
speedrun,gated-attention,3,1.549217631913285,-0.005762857912959533,1326877.0,0.9755742471638329,81.81544462839763,aggregate after warmup,1326877.0
speedrun,glm-mla,3,1.5533569414634532,-0.0016235483627914753,1374704.0,1.0111877306954338,79.25816925366719,aggregate after warmup,1374704.0
speedrun,inkling-relative-attention,3,1.5584435361526827,0.003463046326437865,564529.0,0.41522224891745196,192.94538434346518,aggregate after warmup,564529.0
speedrun,inkling-sconv-kv,3,1.5476527722458455,-0.007327717580399111,1284914.3333333333,0.9448937789580986,84.5362176100413,aggregate after warmup,1284914.3333333333
speedrun,inkling-sconv-residual,3,1.5050169849501547,-0.04996350487609017,1303315.6666666667,0.95826126104902,83.2917464574178,aggregate after warmup,1303315.6666666667
speedrun,kda,3,1.4622238334237927,-0.09275665640245216,607291.0,0.4467250661309063,178.72102467219034,aggregate after warmup,607291.0
speedrun,kimi-k3-kda-update,3,1.4615939632004376,-0.09338652662580715,629414.3333333334,0.46300156134011566,172.4501207669576,aggregate after warmup,629414.3333333334
speedrun,mhc,3,1.539949261029892,-0.015031228796352917,871334.6666666666,0.6410212230610554,125.05533925692241,aggregate after warmup,871334.6666666666
speedrun,partial-rope-25,3,1.57961971933279,0.0246392295065454,1373967.6666666667,1.0100314164093953,79.09221172332764,aggregate after warmup,1373967.6666666667
speedrun,qwen-gdn,3,1.4831026984333449,-0.07187779139289978,645453.3333333334,0.4749402105578131,169.64652832349142,aggregate after warmup,645453.3333333334
speedrun,situ-glu,3,1.559727403026091,0.004746913199846252,1385974.6666666667,1.0182521251368581,78.54613550504048,aggregate after warmup,1385974.6666666667
speedrun,xielu,3,1.557475276004543,0.002494786178298236,1336546.6666666667,0.9826794801710871,81.2211525440216,aggregate after warmup,1336546.6666666667
