backend,variant,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,wall_seconds,source_commit,megatron_commit
megatron,inkling-sconv-residual,44,9365728,286,112459776,1.4996440893591079,743401.6029515993,242.4045450889971,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,kda,42,9372437,286,112459776,1.4646530171413077,613208.4376679923,501.8619626360014,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,kda,43,9372437,286,112459776,1.4701897688111454,485737.74182325165,579.4318535370985,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,kda,44,9372437,286,112459776,1.4573797845985341,586939.0855046468,506.9314846310299,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,kimi-k3-kda-update,42,9385429,286,112459776,1.467616797141906,627359.6992719064,475.84209147200454,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,kimi-k3-kda-update,43,9385429,286,112459776,1.471877271864637,504696.83166525135,547.5502396239899,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,kimi-k3-kda-update,44,9385429,286,112459776,1.4578419957673499,624328.2560212188,475.58162763598375,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,mhc,42,9417518,287,112852992,1.5209002297385066,352658.94310693635,438.40758099092636,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,mhc,43,9417518,287,112852992,1.541199859762443,284636.92675651034,514.705268434016,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,mhc,44,9417518,287,112852992,1.5145931941798925,363781.24767398083,416.24314722709823,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,partial-rope-25,42,9363488,286,112459776,1.5570392934776478,766759.2450586746,235.73683854495175,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,partial-rope-25,43,9363488,286,112459776,1.5735917122615255,646779.9168891525,275.69655359792523,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,partial-rope-25,44,9363488,286,112459776,1.550091580249779,788847.0595891445,230.8019079680089,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,qwen-gdn,42,9423916,288,113246208,1.4937363073355943,560931.3149373881,392.4987271850696,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,qwen-gdn,43,9423916,288,113246208,1.4888674095753305,457263.15941112215,459.3968857979635,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,qwen-gdn,44,9423916,288,113246208,1.4951803256954994,560610.963740178,396.2453115140088,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
